Geo point;ARRONDISSEMENT;GENRE;ESPECE;FAMILLE;ANNEE PLANTATION;HAUTEUR;CIRCONFERENCE;ADRESSE;NOM COMMUN;VARIETE;OBJECTID;NOM_EV
48.857140829, 2.29533455314;7;Maclura;pomifera;Moraceae;1935;13;;Quai Branly, avenue de La Motte-Piquet, avenue de la Bourdonnais, avenue de Suffren;Oranger des Osages;;6;Parc du Champs de Mars
48.8685686134, 2.31331809304;8;Calocedrus;decurrens;Cupressaceae;1854;20;195;Cours-la-Reine, avenue Franklin-D.-Roosevelt, avenue Matignon, avenue Gabriel;Cedre a encens;;11;Jardin des Champs Elysees
48.8768191638, 2.33210374339;9;Pterocarya;fraxinifolia;Juglandaceae;1862;22;330;Place d'Estienne-d'Orves;Perocarya du Caucase;;14;Square Etienne d'Orves
48.8373323894, 2.40776275516;12;Celtis;australis;Cannabaceae;1906;16;295;27, boulevard Soult;Micocoulier de Provence;;16;Avenue 27 boulevard Soult
48.8341842636, 2.46130493573;12;Quercus;petraea;Fagaceae;1784;30;430;route ronde des Minimes;Chene rouvre;;19;Bois de Vincennes (lac des minimes)
48.8325900983, 2.41116455985;12;Platanus;x acerifolia;Platanaceae;1860;45;405;Ile de Bercy;Platane commun;;21;Bois de Vincennes (?le de Bercy)
48.8226749117, 2.33869560229;14;Platanus;x acerifolia;Platanaceae;1840;40;580;Bd Jourdan, avenue Reille, rue Gazan, rue de la Cite,-Universitaire, rue Nansouty;Platane commun;;26;Parc Montsouris
48.8428118006, 2.2972574926;15;Alnus;glutinosa;Betulaceae;1933;16;220;Rue Th,ophraste-Renaudot, rue L,on-Lhermitte, rue Jean Formig,, rue du Docteur Jacquem;Aulne glutineux;;28;Square Saint Lambert
48.8717782491, 2.27973325759;16;Aesculus;hippocastanum;Sapindaceae;;30;505;Avenue Foch;Marronnier d'Inde;;30;Avenue Foch
48.8802898189, 2.38157469859;19;Ginkgo;biloba;Ginkgoaceae;1913;33;230;Rue Manin, rue Botzaris;Arbre aux quarante ecus;;46;Parc des Buttes Chaumont
48.8820015094, 2.39836942721;19;Fraxinus;excelsior;Oleaceae;;30;365;Boulevard d'Algerie;Frene commun;;52;Square de la Butte du Chapeau Rouge
48.846044762, 2.2529555706;16;Ailanthus;giraldii;Simaroubaceae;;35;460;3 avenue de la Porte d'Auteuil, 1 avenue Gordon Benett;Ailanthe;;53;Jardin des Serres d'Auteuil
48.8606198209, 2.2599223737;16;Taxodium;distichum;Taxodiaceae;1862;35;350;Berge du lac Inferieur;Cypres chauve;;56;Bois de Boulogne (Berge du lac inferieur)
48.8232165418, 2.46016871078;12;Diospyros;kaki;Ebenaceae;;12;160;Route de la Ferme, route de la Pyramide;Kaki;;58;Jardin de l' Ecole Du Breuil
48.8764503804, 2.25765244347;16;Sequoiadendron;giganteum;Taxodiaceae;1850;30;;;Sequoia geant;;59;Bois de Boulogne (Portes Saint james)
48.8691485018, 2.27224125103;16;Gymnocladus;dioicus;Fabaceae;;10;162;;Chicot du Canada;;61;Square Schumann
48.8615768444, 2.25902702441;16;Fagus;sylvatica;Fagaceae;1857;10;200;;Hetre pleureur;Pendula;63;Bois de Boulogne (petite ?le du Lac Inferieur)
