Annee;Nom du partenaire;N SIRET;Adresse;Code postal;Ville;Intitule de la demande;Appel a projets;Appel a projets Politique Ville;Montant demande;Montant vote par demande;Total vote en 2013;Fonctionnement;Subventions sur projet;Subventions d'equipement;Subventions sans nature specifiee;S-PR-Numero SIMPA;Financee/Non Financee
2013;ESPOIR 18;45057218500038;44 RUE LeON;75018;PARIS;Financements de projets artistiques et sportifs a valeur educative a destination de jeunes.;O;O;10000;6000;6000;;6000;;;15254;Financee
2013;ESPOIR 18;45057218500038;44 RUE LeON;75018;PARIS;VVV Echanges artistiques et sportifs a vocation de prevention et international;O;N;7000;3000;3000;3000;;;;15254;Financee
2013;EthnoArt;44992063600031;39 RUE DES CASCADES;75020;PARIS;ARE-ateliers d'initiation a l'ethnologie;O;N;8900;8900;8900;;;;8900;19749;Financee
2013;Ethnologues en herbe;43751219700025;258 RUE MARCADET;75018;PARIS;- ARE - Carnets de voyage dans mon quartier, ateliers d'ethnologie et de creation multimedia;O;N;12235;;;;;;;12786;Non financee
2013;EXTRA MUROS;48093734100018;99 AVENUE JEAN-BAPTISTE CLeMENT;93430;VILLETANEUSE;Festival Cinebanlieue - 8eme edition;N;N;40000;14000;14000;14000;;;;44562;Financee
2013;Fabrication Maison;42228221000018;4 RUE DE LA SOLIDARITe;75019;PARIS;INNOVATION Saint-Blaise;N;N;7000;7000;7000;;7000;;;15446;Financee
2013;FEDERATION DU LOGEMENT DE PARIS;78449168000012;62 BOULEVARD RICHARD LENOIR;75011;PARIS;Subvention de fonctionnement;N;N;18000;15000;15000;15000;;;;54682;Financee
2013;FEMMES RELAIS 20eme;41403035300018;71 RUE DES AMANDIERS;75020;PARIS;Accompagnement des personnes agees (public migrant vieillissant);N;O;5000;3000;3000;3000;;;;19813;Financee
2013;FEMMES RELAIS 20eme;41403035300018;71 RUE DES AMANDIERS;75020;PARIS;Co-financement DPVI sur Adulte-Relais n? 075 00 RT 100 04;N;N;4706;4706;4706;;4706;;;19813;Financee
2013;FNATH Association des Accidentes de la Vie;77639916400040;11 RUE DU CHEMIN VERT;75011;PARIS;Subvention travaux de remise a neuf du Comite de Paris de la FNATH;N;N;10000;5000;5000;;;5000;;84261;Financee
2013;Fondation Oeuvre de la Croix Saint-Simon;78480968300013;18 RUE DE LA CROIX SAINT-SIMON;75020;PARIS;Halte Garderie Jardin du Luxembourg;N;N;109152;116760;116760;116760;;;;18170;Financee
2013;Fonds regional d'art contemporain Ile-de-France (Frac Ile-de-France/Le Plateau);32966567300037;33 RUE DES ALOUETTES;75019;PARIS;Subvention de fonctionnement 2013;N;N;200000;180000;180000;180000;;;;20104;Financee
2013;FOOTBALL CLUB DES GOBELINS PARIS 13;42002748400021;1 AVENUE JOSEPH BeDIER;75013;PARIS;ARE - Atelier de decouverte sports de balle;O;N;5000;5000;5000;;5000;;;17801;Financee
2013;Foyers La Vigie;78423727300015;7 RUE POULLETIER;75004;PARIS;Subvention d'equipement au titre de la jeunesse;N;N;53400;53400;53400;;;53400;;20798;Financee
2013;France Amerique Latine;30129424500040;37 BOULEVARD SAINT JACQUES;75014;PARIS;Rencontres du cinema d'Amerique latine et de la Caraibe;N;N;4200;3000;3000;3000;;;;16378;Financee
2013;FRANCE eNERGIE EMPLOI;41180303400031;203 RUE CARNOT;94722;FONTENAY SOUS BOIS CEDEX;Soutien aux demandeurs d'emploi parisiens, cadres et techniciens, frequentant les MdEE13-14-18 & 20;N;N;62500;62500;62500;;62500;;;26562;Financee
2013;FRANCOPHONIE ET CULTURES PARTAGEES;44306055300015;59 RUE DE LA FONTAINE AU ROI;75011;PARIS;Ateliers pratiques et groupes de parole - ASL;O;O;4000;1500;1500;;1500;;;11127;Financee
2013;GABY SOURIRE;47978923200011;12 RUE SAINT-MATHIEU;75018;PARIS;Je suis gardien(ne) d'immeuble dans le quartier de la Goutte d'Or;O;O;4000;;;;;;;1188;Non financee
2013;ATELIER DE PARIS-CAROLYN CARLSON;39864093800021;1 ROUTE DU CHAMP DE MANOEUVRE;75012;PARIS;Residence d'Artiste en College - L'Art pour grandir;N;N;5000;5000;5000;;5000;;;20428;Financee
2013;Atelier des Feuillantines;40500152000015;40 RUE HENRI BARBUSSE;75005;PARIS;ARE ? Faisons de l?ARCHeO : une enquete dans Paris ? par Carla GUeDY/Atelier des Feuillantines;O;N;3200;;;;;;;60561;Non financee
2013;Traces : Theories et Reflexions sur l'Apprendre, la Communication et l'Education Scientifiques;49457785100020;23 RUE DES BALKANS;75020;PARIS;Financement d'ateliers deliberatifs science-societe dans le cadre de l'exposition "Les Invisibles";N;N;5000;;;;;;;57461;Non financee
2013;Travail Au Noir;50790702000014;111 RUE DES MOINES;75017;PARIS;vvv Atelier Hip-Hop Ete en musique;O;N;2000;;;;;;;13245;Non financee
2013;Treize Ter;53517871900014;11 RUE DE L'ORILLON;75011;PARIS;Demande de subvention de fonctionnement 2013;N;N;11000;7000;7000;7000;;;;78802;Financee
2013;TunAction;50884664900012;4 RUE DES AReNES;75005;PARIS;Label Paris Co-developpement Sud 2013;O;N;14971;;;;;;;6081;Non financee
2013;Union Departementale de la Consommation, du Logement et du Cadre de Vie de Paris;49885048600024;29 RUE ALPHONSE BERTILLON;75015;PARIS;Ameliorer les performances energetiques des coproprietes parisiennes Un projet de depliant pour;N;N;2000;2000;2000;;2000;;;19255;Financee
